,Total
1196,29.426816
1197,29.222593000000003
1198,29.649541
1199,29.671846
1200,30.033225
1201,28.5554
1202,29.005806
1203,30.293390000000002
1204,30.825457
1205,30.82562
1206,30.591397999999998
1207,30.007655
1208,29.451482999999996
1209,31.262230000000002
1210,31.538878
1211,31.285047
1212,30.973511000000002
1213,32.024891
1214,31.52993
1215,31.87049
1216,31.597755
1217,31.679259000000002
1218,31.347654
1219,31.816757
1220,32.447417
1221,31.745842000000003
1222,31.22999
1223,29.947077999999998
1224,29.440841
1225,31.415125000000003
1226,31.047897
1227,31.329804000000003
1228,29.688925
1229,29.188613000000004
1230,30.107453
1231,29.639934000000004
1232,29.447914
1233,28.814271
1234,29.24593
1235,29.232227
1236,29.375371
1237,28.755979000000004
1238,28.738644
1239,28.833697
1240,29.751591
1241,29.948538
1242,30.333764000000002
1243,30.84184
1244,30.869284999999998
1245,30.744417
1246,29.626005
1247,31.155864
1248,29.528302999999998
1249,30.113945
1250,30.425797
1251,31.40683
1252,30.368816000000002
1253,29.99646
1254,29.512583
1255,29.882842
1256,29.754196
1257,28.866775999999998
1258,30.806154
1259,30.276614
1260,30.474915
1261,30.778171
1262,31.336103
1263,30.760074
1264,30.760012000000003
1265,31.288880000000002
1266,30.938852
1267,31.946271000000003
1268,31.5064
1269,31.149233
1270,30.938099
1271,31.133913
1272,30.954396000000003
1273,30.570183
1274,30.146735999999997
1275,30.408343000000002
1276,30.765855000000002
1277,31.438435
1278,31.862484000000002
1279,31.071051
1280,30.617479
1281,29.512938
1282,30.659087
1283,31.349119
1284,31.10098
1285,31.363774
1286,31.876174
1287,30.841338999999998
1288,31.052329
1289,30.52643
1290,31.602262
1291,30.747653
1292,28.252915
1293,28.73486
1294,29.39224
1295,28.629610999999997
1296,28.041418999999998
1297,29.783856999999998
1298,30.387307
1299,27.179799000000003
1300,28.668803999999998
1301,28.580286
1302,29.585356
1303,29.969053000000002
1304,31.862647
1305,31.102251
1306,30.887000999999998
1307,30.663607
1308,30.453066
1309,30.148959
1310,30.092087
1311,28.79438
1312,31.251987
1313,29.951687999999997
1314,30.133269999999996
1315,30.258307000000002
1316,29.542688
1317,30.63793
1318,29.17257
1319,28.89025
1320,28.487651
1321,28.168224000000002
1322,28.867581
1323,29.71268
1324,31.047038999999998
1325,29.600189999999998
1326,30.900259
1327,30.498477
1328,28.976658
1329,27.356494
1330,29.874440999999997
1331,29.255995
1332,30.442166
1333,31.749624999999998
1334,30.976272
1335,30.129371
1336,30.904582
1337,29.173866999999998
1338,28.834117
1339,31.362414
1340,31.115188
1341,31.222565000000003
1342,30.95071
1343,30.611083
1344,30.54889
1345,30.024575
1346,30.096521000000003
1347,29.500695999999998
1348,28.993854
1349,30.804305
1350,30.055578999999998
1351,31.415658
1352,29.997768
1353,29.166556999999997
1354,29.815351999999997
1355,30.771678
1356,31.680445
1357,31.356207
1358,31.654801
1359,31.834946
1360,30.165170000000003
1361,30.175686
1362,28.714803
1363,28.139716
1364,26.933329999999998
1365,28.140228999999998
1366,26.119058
1367,27.298211000000002
1368,28.265343
1369,29.878025
1370,29.571138
1371,29.528857000000002
1372,29.432358999999998
1373,30.255596999999998
1374,29.632073
1375,30.061253999999998
1376,30.346280999999998
1377,29.919269999999997
1378,30.821284000000002
1379,30.698476999999997
1380,30.660749000000003
1381,31.47585
1382,31.693158
1383,31.495302000000002
1384,30.671888000000003
1385,30.330471
1386,31.00217
1387,30.813944
1388,31.148662
1389,31.673003
1390,30.832705999999998
1391,31.309386
1392,31.096238
1393,31.8853
1394,32.548837
1395,33.123189
1396,32.47655
1397,31.675268
1398,32.370704
1399,31.634681
1400,29.959477
1401,28.476889999999997
1402,28.99228
1403,29.199796
1404,28.454373
1405,27.704587
1406,28.980800000000002
1407,29.749318000000002
1408,28.556224999999998
1409,26.759500000000003
1410,27.444842
1411,26.528441
1412,28.178844
1413,26.283761
1414,28.609595
1415,29.111493000000003
1416,29.375954
1417,30.592591
1418,30.212671
1419,30.714693
1420,29.944206
1421,30.343928000000002
1422,31.616296
1423,30.860030000000002
1424,30.714339
1425,30.260118
1426,30.732644999999998
1427,31.284278999999998
1428,30.721241
1429,31.402205000000002
1430,31.417529000000002
1431,31.485500000000002
1432,31.494338
1433,31.520255
1434,31.324422
1435,31.47675
1436,30.371948
1437,30.192747
1438,30.585254
1439,30.919578
1440,31.219351000000003
1441,31.493054
1442,31.179062
1443,30.821419
1444,30.950236999999998
1445,30.573636999999998
1446,31.151607
1447,30.960074000000002
1448,31.586734
1449,31.529735000000002
1450,31.739144000000003
1451,31.618284000000003
1452,31.576589
1453,31.954483000000003
1454,30.700518
1455,31.239001000000002
1456,30.411267000000002
1457,29.798640999999996
1458,28.568596
1459,30.826861
1460,30.414683
1461,30.206606999999998
1462,29.352946
1463,29.948354000000002
1464,29.548731000000004
1465,29.346148
1466,29.04264
1467,29.441668999999997
1468,29.96672
1469,30.011118
1470,29.299985999999997
1471,30.195751
1472,30.475295000000003
1473,29.954124999999998
1474,30.804234
1475,30.15205
1476,30.965186000000003
1477,30.916607
1478,31.074005
1479,31.185208000000003
1480,31.099322
1481,31.548817
1482,30.899722
1483,30.847203
1484,30.694646
1485,31.691067
1486,31.477205
1487,31.993084000000003
1488,31.887157000000002
1489,31.918636
1490,32.252139
1491,31.492161
1492,30.468786
1493,29.702344
1494,29.794702
1495,28.956351
1496,29.086188
1497,28.171379
1498,27.852245
1499,26.091099
1500,28.251534
1501,29.087812999999997
1502,29.598401
1503,32.01732
1504,29.567982
1505,29.444876999999998
1506,30.164391000000002
1507,31.266663
1508,30.580475
1509,30.99822
1510,31.440234
1511,31.587958
1512,31.338404999999998
1513,31.420377
1514,30.760168
1515,31.782947
1516,31.365175
1517,31.565507
1518,30.659002
1519,30.328716
1520,32.421453
1521,31.878921
1522,31.018235999999998
1523,29.82356
1524,29.841037
1525,29.706478
1526,31.008624
1527,30.124856
1528,31.076560999999998
1529,30.86186
1530,32.214592
1531,32.709213000000005
1532,32.851999
1533,32.458062
1534,29.635678
1535,29.578458
1536,29.013795000000002
1537,31.154692999999998
1538,32.747154
1539,30.902552
1540,30.397624
1541,30.6764
1542,30.378104999999998
1543,30.153643
1544,30.6171
1545,30.697555
1546,31.794602
1547,31.026365
1548,30.401761
1549,30.981611
1550,31.756637
1551,31.802616999999998
1552,30.815099
1553,30.424332
1554,30.755798
1555,31.205976
1556,30.828867
1557,30.823088999999996
1558,30.828175
1559,30.978177000000002
1560,31.474688
1561,32.2944
1562,30.539631
1563,31.453021999999997
1564,31.322606
1565,31.349179999999997
1566,31.319312
1567,31.180895999999997
1568,30.659608
1569,30.779401
1570,30.434593
1571,30.254789000000002
1572,30.708047999999998
1573,30.212718000000002
1574,29.639415
1575,29.718279
1576,29.521688
1577,27.640453
1578,28.86215
1579,30.199574
1580,30.024185000000003
1581,30.741589
1582,30.507315
1583,31.166813
1584,30.929034
1585,30.858351
1586,30.581053999999998
1587,29.856353999999996
1588,31.457922
1589,30.185906
1590,30.641088
1591,30.890394999999998
1592,30.001084
1593,31.005361999999998
1594,29.965764
1595,30.098697
1596,30.562058999999998
1597,31.124591000000002
1598,30.340847
1599,30.737856
1600,30.516988
1601,31.489284
1602,31.634034
1603,30.697628
1604,30.627814
1605,30.503402
1606,29.990787
1607,30.225048
1608,30.659950000000002
1609,31.188012
1610,30.19245
1611,29.144648
1612,29.353887
1613,30.057869000000004
1614,29.102828000000002
1615,28.697674
1616,29.81575
1617,30.479607
1618,30.376746999999998
1619,30.128637
1620,30.254079
1621,30.594497999999998
1622,30.259812000000004
1623,30.016851000000003
1624,30.072665999999998
1625,29.612603
1626,30.258227
1627,30.816136
1628,30.80431
1629,29.951045999999998
1630,29.389682
1631,29.667283
1632,30.153765999999997
1633,30.444074
1634,30.503202
1635,30.671514000000002
1636,30.406352
1637,30.82595
1638,30.728296999999998
1639,30.976188
1640,29.975293999999998
1641,30.26397
1642,30.724467
1643,30.213654
1644,30.911542
1645,29.826591
1646,30.667769
1647,28.468674
1648,30.678114
1649,28.814779
1650,29.829405
1651,31.454777
1652,30.71909
1653,30.277936
1654,30.376351
1655,29.434731
1656,28.857889999999998
1657,28.999546000000002
1658,27.797653
1659,30.905359
1660,31.080790999999998
1661,29.774332
1662,30.733666999999997
1663,29.268481
1664,30.893618
1665,32.083591999999996
1666,31.849652
1667,31.072207
1668,29.375646000000003
1669,29.864043000000002
1670,30.544515
1671,29.956245
1672,28.284022999999998
1673,27.850699
1674,26.06814
1675,27.517435
1676,27.539317
1677,27.584781
1678,27.395581999999997
1679,28.105356
1680,29.528719
1681,29.663229
1682,30.151091
1683,28.954870999999997
1684,30.663482000000002
1685,30.870303
1686,31.085524
1687,30.589875999999997
1688,31.249274999999997
1689,30.082959
1690,30.574137
1691,30.646955
1692,30.395428
1693,31.241172
1694,30.745109
1695,31.004891
1696,31.266896
1697,30.829683
1698,31.091915
1699,31.548132000000003
1700,31.115622000000002
1701,30.192191
